DATAFLOW,LAST UPDATE,freq,unit,operator,procstat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,RS,2018,20,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,RS,2019,69,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,RS,2020,100,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,SE,2012,1,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,SE,2013,31,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,SE,2014,32,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,SE,2015,32,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,SE,2016,10,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,SE,2017,14,r
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,SE,2018,13,r
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,SE,2019,18,r
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,SE,2020,15,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,SE,2021,27,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,SI,2012,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,SI,2013,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,SI,2014,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,SI,2015,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,SI,2016,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,SI,2017,0,
ESTAT:ORG_COPTYP(1.0),08/12/22 23:00:00,A,NR,EXP,REG_END,SI,2018,0,
