operator,procstat,geo,TIME_PERIOD,OBS_VALUE
EXP,REG_NEW,BG,2018,1.0
EXP,REG_NEW,BG,2019,1.0
EXP,REG_NEW,BG,2022,1.24
EXP,REG_NEW,CH,2022,0.0
EXP,REG_NEW,CY,2022,0.0
EXP,REG_NEW,CZ,2013,7.0
EXP,REG_NEW,CZ,2014,20.0
EXP,REG_NEW,CZ,2016,31.0
EXP,REG_NEW,CZ,2019,20.0
EXP,REG_NEW,CZ,2020,13.0
EXP,REG_NEW,CZ,2022,13.8
EXP,REG_NEW,DE,2022,1107.25
EXP,REG_NEW,DK,2022,90.0
EXP,REG_NEW,EE,2022,24.0
EXP,REG_NEW,EL,2022,36.58
EXP,REG_NEW,ES,2022,230.0
EXP,REG_NEW,FI,2022,37.0
EXP,REG_NEW,FR,2022,6614.13
EXP,REG_NEW,HR,2013,0.0
EXP,REG_NEW,HR,2014,0.0
EXP,REG_NEW,HR,2015,1.0
EXP,REG_NEW,HR,2016,1.0
EXP,REG_NEW,HR,2017,0.0
EXP,REG_NEW,HR,2018,2.0
EXP,REG_NEW,HR,2019,0.0
EXP,REG_NEW,HR,2022,0.0
EXP,REG_NEW,HU,2022,0.0
EXP,REG_NEW,IE,2022,0.0
EXP,REG_NEW,IS,2022,0.0
EXP,REG_NEW,IT,2022,582.0
EXP,REG_NEW,LT,2022,0.0
EXP,REG_NEW,LU,2022,0.0
EXP,REG_NEW,LV,2014,1.0
EXP,REG_NEW,LV,2015,0.0
EXP,REG_NEW,LV,2016,0.0
EXP,REG_NEW,LV,2017,0.0
EXP,REG_NEW,LV,2019,0.0
EXP,REG_NEW,LV,2022,0.0
EXP,REG_NEW,ME,2022,0.0
EXP,REG_NEW,MK,2015,0.0
EXP,REG_NEW,MK,2022,0.0
EXP,REG_NEW,MT,2013,0.0
EXP,REG_NEW,MT,2014,0.0
EXP,REG_NEW,MT,2015,0.0
EXP,REG_NEW,MT,2016,0.0
EXP,REG_NEW,MT,2017,0.0
EXP,REG_NEW,MT,2018,0.0
EXP,REG_NEW,MT,2019,0.0
EXP,REG_NEW,MT,2020,0.0
EXP,REG_NEW,MT,2022,0.0
EXP,REG_NEW,NL,2022,146.0
EXP,REG_NEW,NO,2022,0.0
EXP,REG_NEW,PL,2022,43.03
EXP,REG_NEW,PT,2015,0.0
EXP,REG_NEW,PT,2017,0.0
EXP,REG_NEW,PT,2022,0.0
EXP,REG_NEW,RO,2014,0.0
EXP,REG_NEW,RO,2015,1.0
